x1,y1,x2,y2,page,file
211,171.864,358.441,180.864,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
253.581,183.366,354.27,192.366,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
407.671,28.2117,490.523,35.2117,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
148.429,228.406,153.037,237.373,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
509.339,393.321,545.959,402.288,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
308.842,382.861,545.967,391.828,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
308.842,372.4,545.95,381.367,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
308.842,361.939,545.96,370.906,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
308.842,351.478,439.057,360.445,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Johnston, 2014.pdf"
233.2006665,498.9148304,261.1606553,635.1070383,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Unknown, Unknown.pdf"
250.4472,557.437376,325.6776,565.437376,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Wasserman A., Cullen, 2015.pdf"
263.4406544,106.1999575,291.4006432,188.4021273,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Unknown, Unknown.pdf"
93.6,389.0872426,381.205975,401.0424426,56,"/Users/fcac/Dropbox/Mendeley Organized Folder/Rudraraju, 2011.pdf"
111.159,407.0152426,554.4028221,418.9704426,56,"/Users/fcac/Dropbox/Mendeley Organized Folder/Rudraraju, 2011.pdf"
338.54496,458.7672141,372.77724,468.2623251,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.24172,326.7676941,396.2592,336.2476941,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.24172,337.7455341,544.69704,347.2255341,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.24172,348.7897341,536.69592,358.2697341,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,744.1472035,253.99742,754.1672035,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,755.1291235,293.87702,765.1491235,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,529.6037141,196.21184,539.0837141,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,540.6479141,295.12616,550.1279141,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,551.6257541,287.54216,561.1057541,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,562.6035941,289.86476,572.0835941,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,573.6477941,306.11348,583.1277941,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,584.6256341,297.35396,594.1056341,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
66.2126,595.6034741,300.29276,605.0834741,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
108.66404,606.6476741,299.3732,616.1276741,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
305.2512,535.7448141,541.1136,545.2248141,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Dahl, 2016.pdf"
